,0,1
0,cantaloupe,26048
1,message,21954
2,from,21616
3,subject,21589
4,lines,20894
5,date,20787
6,newsgroups,20404
7,path,20369
8,organization,19840
9,state,18842
10,ohio,15887
11,writes,14686
12,article,13435
13,comp,13101
14,references,12981
15,talk,12308
16,misc,11892
17,sender,11040
18,howland,10981
19,reston,10946
20,people,10364
21,like,10350
22,just,9978
23,university,9958
24,posting,9793
25,nntp,9377
26,know,9173
27,host,8934
28,think,8315
29,usenet,8308
30,zaphod,8302
31,this,7954
32,politics,7869
33,windows,7584
34,does,7267
35,time,7073
36,rutgers,7014
37,harvard,6923
38,near,6868
39,good,6308
40,crabapple,6235
41,xref,6064
42,europa,5448
43,gtefsd,5429
44,uunet,5369
45,world,5354
46,religion,5351
47,make,5191
48,what,5184
49,christian,5129
50,right,4943
51,rochester,4851
52,distribution,4753
53,club,4617
54,space,4544
55,mail,4511
56,andrew,4458
57,want,4442
58,gatech,4413
59,magnesium,4363
60,they,4356
61,said,4321
62,udel,4310
63,reply,4307
64,utexas,4283
65,used,4261
66,culture,4241
67,need,4142
68,there,4125
69,uiuc,3978
70,work,3958
71,nasa,3931
72,really,3926
73,problem,3764
74,computer,3758
75,sura,3709
76,believe,3699
77,graphics,3620
78,hardware,3595
79,netcom,3502
80,years,3405
81,going,3366
82,government,3357
83,information,3345
84,help,3325
85,point,3299
86,that,3281
87,file,3217
88,better,3216
89,year,3200
90,using,3194
91,question,3185
92,things,3122
93,read,3071
94,thanks,3041
95,software,3041
96,david,2995
97,uucp,2938
98,sure,2931
99,number,2859
100,access,2850
101,doesn,2823
102,case,2817
103,forsale,2805
104,look,2778
105,thing,2735
106,cwru,2732
107,long,2701
108,drive,2700
109,program,2690
110,fact,2675
111,available,2622
112,version,2616
113,apple,2606
114,guns,2600
115,come,2581
116,science,2575
117,atheism,2563
118,john,2532
119,power,2529
120,little,2493
121,columbia,2477
122,didn,2454
123,darwin,2403
124,sport,2397
125,best,2386
126,public,2374
127,different,2369
128,true,2356
129,probably,2314
130,group,2291
131,game,2272
132,life,2260
133,research,2249
134,line,2227
135,actually,2224
136,course,2218
137,tell,2215
138,when,2197
139,support,2196
140,great,2192
141,real,2183
142,system,2181
143,free,2146
144,washington,2130
145,high,2126
146,post,2114
147,systems,2112
148,jesus,2109
149,list,2100
150,says,2097
151,hard,2057
152,mean,2056
153,called,2044
154,second,2032
155,hockey,2017
156,possible,2015
157,image,2008
158,internet,1996
159,card,1977
160,wrong,1961
161,pitt,1957
162,stanford,1953
163,turkish,1935
164,reason,1934
165,network,1930
166,athos,1914
167,autos,1913
168,general,1889
169,mark,1888
170,please,1885
171,person,1853
172,baseball,1851
173,jewish,1848
174,order,1843
175,based,1841
176,looking,1836
177,well,1835
178,problems,1833
179,unix,1832
180,agate,1827
181,email,1818
182,maybe,1817
183,technology,1815
184,security,1807
185,human,1803
186,files,1801
187,team,1794
188,seen,1792
189,example,1786
190,having,1786
191,center,1776
192,place,1775
193,american,1765
194,israel,1751
195,quite,1747
196,info,1744
197,purdue,1742
198,following,1736
199,control,1735
200,send,1733
201,mideast,1718
202,thought,1706
203,wrote,1705
204,heard,1704
205,doing,1680
206,evidence,1675
207,chip,1669
208,means,1666
209,michael,1663
210,electronics,1663
211,crypt,1661
212,virginia,1655
213,trying,1654
214,book,1648
215,jews,1646
216,phone,1634
217,colorado,1627
218,children,1624
219,opinions,1623
220,left,1623
221,haven,1610
222,away,1609
223,given,1603
224,start,1600
225,national,1599
226,idea,1597
227,window,1597
228,today,1596
229,user,1586
230,home,1585
231,rights,1584
232,times,1578
233,berkeley,1571
234,geneva,1568
235,word,1567
236,kind,1564
237,questions,1562
238,getting,1562
239,keywords,1554
240,president,1544
241,paul,1540
242,note,1532
243,remember,1508
244,bill,1504
245,service,1501
246,games,1499
247,steve,1497
248,change,1496
249,makes,1492
250,scsi,1489
251,standard,1488
252,history,1487
253,followup,1485
254,however,1472
255,saying,1472
256,clipper,1472
257,mike,1470
258,toronto,1463
259,local,1462
260,code,1460
261,price,1458
262,source,1458
263,wupost,1458
264,wanted,1458
265,department,1449
266,server,1445
267,open,1437
268,caltech,1433
269,also,1429
270,abortion,1429
271,frank,1425
272,large,1404
273,bogus,1403
274,institute,1401
275,money,1400
276,stuff,1393
277,small,1392
278,disk,1386
279,digex,1383
280,motorcycles,1380
281,answer,1370
282,indiana,1359
283,running,1354
284,address,1349
285,clinton,1342
286,magnus,1340
287,matter,1339
288,speed,1339
289,issue,1338
290,interested,1333
291,days,1332
292,bible,1326
293,original,1325
294,agree,1324
295,approved,1322
296,after,1319
297,came,1311
298,sale,1310
299,works,1304
300,pretty,1304
301,play,1303
302,video,1301
303,told,1298
304,some,1294
305,type,1288
306,legal,1287
307,current,1286
308,states,1283
309,care,1283
310,hope,1280
311,canada,1278
312,claim,1274
313,color,1273
314,machine,1273
315,stratus,1269
316,earth,1266
317,live,1266
318,feel,1260
319,robert,1259
320,armenian,1252
321,love,1241
322,hand,1237
323,understand,1236
324,house,1233
325,mind,1231
326,college,1229
327,these,1223
328,important,1222
329,math,1213
330,simply,1212
331,church,1211
332,programs,1205
333,memory,1204
334,netnews,1198
335,april,1195
336,black,1192
337,buffalo,1191
338,engineering,1191
339,went,1190
340,truth,1188
341,including,1187
342,include,1177
343,certainly,1173
344,area,1171
345,started,1170
346,encryption,1169
347,white,1168
348,wouldn,1168
349,guess,1159
350,caen,1156
351,cause,1152
352,cornell,1150
353,dept,1149
354,health,1149
355,making,1148
356,instead,1143
357,soviet,1143
358,value,1140
359,comes,1137
360,christians,1131
361,display,1131
362,christ,1123
363,later,1122
364,sandvik,1117
365,working,1117
366,school,1111
367,igor,1105
368,death,1102
369,newsreader,1099
370,company,1095
371,country,1093
372,cost,1092
373,private,1085
374,single,1084
375,feed,1081
376,copy,1080
377,write,1078
378,text,1077
379,view,1070
380,words,1068
381,unless,1068
382,consider,1068
383,light,1065
384,hell,1065
385,opinion,1058
386,difference,1056
387,society,1055
388,pacific,1053
389,california,1050
390,police,1046
391,armenians,1046
392,faith,1045
393,austin,1041
394,known,1040
395,james,1039
396,tried,1038
397,computers,1037
398,major,1030
399,freenet,1029
400,sort,1028
401,brian,1027
402,check,1026
403,clear,1024
404,sense,1023
405,deal,1019
406,anybody,1019
407,wisc,1018
408,bitnet,1017
409,ucsd,1016
410,contact,1015
411,political,1014
412,cleveland,1008
413,objective,1007
414,services,1007
415,religious,1004
416,hedrick,1003
417,morality,1002
418,likely,999
419,aramis,999
420,iastate,998
421,city,998
422,talking,995
423,especially,994
424,similar,994
425,radio,992
426,night,991
427,press,990
428,argument,990
429,nice,985
430,package,984
431,summary,983
432,correct,982
433,koresh,982
434,women,980
435,body,980
436,couple,979
437,simple,975
438,then,975
439,blue,972
440,certain,971
441,force,971
442,happened,971
443,dead,970
444,stop,970
445,sound,969
446,board,968
447,self,967
448,peter,966
449,dave,966
450,privacy,964
451,exactly,959
452,asked,952
